Course Name,Tee,Par,Course Rating,Bogey Rating,Slope Rating,Front (Par),Front (Slope),Back (Par),Back (Slope)
Bransford,White,72,69.7,94.9,136,35.1,135,34.6,137
Bransford,Blue,72,70.4,96.3,140,35.2,136,35.2,143
Bransford,Yellow,72,68.6,93,131,34.4,131,34.2,131
Bransford,Red–Female,72,71.5,103.1,134,35.6,131,35.9,137
Lickey Hills,White,69,68.6,90.2,116,34.8,117,33.8,115
Lickey Hills,Yellow,68,67,88.1,114,33.9,116,33.1,111
Lickey Hills,Red,70,69,95.7,113,35.2,116,33.8,110
Morley Hayes,White,72,74,98.5,132,37,125,37,139
Morley Hayes,Blue,72,74.8,99.2,132,37.1,126,37.7,137
Morley Hayes,Yellow,72,72.4,96.3,129,36.1,121,36.3,137
Morley Hayes,Red–Female,72,74.8,106,133,37.3,129,37.5,136
Harborne Church Farm,Red–Female,66,65,94.6,126,32.5,126,32.5,126
Harborne Church Farm,Red–Male,66,62,81.8,107,31,107,31,107
Harborne Church Farm,White,66,64.4,88.4,129,32.2,129,32.2,129
Harborne Church Farm,Yellow,66,63.4,86,122,31.7,122,31.7,122
Morley Hayes Tower,White,60,None,None,None,30,None,30,None
Warley Woods,White,68,64.8,85.4,111,32.4,111,32.4,111
Warley Woods,Red–Female,68,66.6,95.2,121,33.3,122,33.3,122
